iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
44,-0.024698871932256238,9,913,981,0.19845093872383823,0.2016546071891688,0.19100266716469386,0.22349919235679,0.16702788005666033,0.21681565323268667,0.37994981065639366,0.37994981065639366,0.37994981065639366,0.37994981065639366,0.37994981065639366
45,-0.07440027044178348,9,935,1001,0.19845093872383823,0.20170530557658392,0.19083038476705547,0.2239889173831299,0.1665637589087843,0.21691163336444613,0.3894111225439196,0.3894111225439196,0.3894111225439196,0.3894111225439196,0.3894111225439196
46,-0.06508169590212903,9,958,1022,0.19845093872383823,0.20140588901845405,0.19036355406319044,0.2237898210652477,0.1664543672629788,0.21798636859013182,0.39059611336488853,0.39059611336488853,0.39059611336488853,0.39059611336488853,0.39059611336488853
47,-0.10456309813944943,9,981,1042,0.19845093872383823,0.20140588901845402,0.1903635540631903,0.22378982106524772,0.16645436726297877,0.21798636859013193,0.39059611336488853,0.39059611336488853,0.39059611336488853,0.39059611336488853,0.39059611336488853
48,0.0033002875813652466,10,1002,1060,0.22314355131420976,0.20216994462906573,0.1909914077153059,0.22377155560205492,0.1660787049894098,0.2169883870641673,0.3895643027547929,0.3895643027547929,0.3895643027547929,0.3895643027547929,0.3895643027547929
49,-0.16636962814855016,10,1022,1080,0.22314355131420976,0.20134337262904323,0.19105280332040284,0.22293973207393358,0.16601657452260316,0.2186475174540222,0.39294731851593695,0.39294731851593695,0.39294731851593695,0.39294731851593695,0.39294731851593695
50,0.05005464010082221,10,1044,1099,0.22314355131420976,0.20126656268601412,0.1908460076276414,0.22239099549208094,0.1671769667912796,0.21831946740298958,0.38386171650914636,0.38386171650914636,0.38386171650914636,0.38386171650914636,0.38386171650914636
51,-0.13138079002193834,10,1067,1120,0.22314355131420976,0.2009285410920616,0.19113703786506717,0.22266207227457677,0.16506098769579663,0.22021136107249953,0.40888002473235374,0.40888002473235374,0.40888002473235374,0.40888002473235374,0.40888002473235374
52,-0.04318185718842844,11,1089,1140,0.24846135929849963,0.19886596978925758,0.1917102085646228,0.22160786948380665,0.16731059210510743,0.22050536005720253,0.42739596346087366,0.42739596346087366,0.42739596346087366,0.42739596346087366,0.42739596346087366
53,-0.1543564669539173,11,1112,1159,0.24846135929849963,0.1995557267146869,0.19172227562011745,0.2211571333878391,0.16854013654396569,0.2190247277333871,0.434608060071235,0.434608060071235,0.434608060071235,0.434608060071235,0.434608060071235
54,-0.04082869173508136,11,1135,1179,0.24846135929849963,0.19864482170786488,0.1916707464150468,0.22090529584632337,0.16957494933727513,0.21920418669348465,0.427071196937486,0.427071196937486,0.427071196937486,0.427071196937486,0.427071196937486
55,-0.1679035221042736,12,1157,1198,0.2744368457017603,0.19921693625190434,0.19128190980434423,0.22166599357328115,0.1690909909382698,0.21874416943219546,0.4366154990939164,0.4366154990939164,0.4366154990939164,0.4366154990939164,0.4366154990939164
56,-0.02578840822182035,13,1178,1215,0.3011050927839216,0.19904342662421406,0.1914696464535035,0.22363971795756205,0.16973956812225183,0.2161076408424657,0.4164167244303068,0.4164167244303068,0.4164167244303068,0.4164167244303068,0.4164167244303068
57,-0.1547199032015391,14,1198,1232,0.3285040669720361,0.1985633300861665,0.19035591916874572,0.2209236410485941,0.1706570253296019,0.21950008436688737,0.4277012316389291,0.4277012316389291,0.4277012316389291,0.4277012316389291,0.4277012316389291
58,-0.017529417407269435,14,1218,1250,0.3285040669720361,0.19856333008616656,0.19035591916874567,0.2209236410485941,0.17065702532960184,0.21950008436688737,0.4277012316389291,0.4277012316389291,0.4277012316389291,0.4277012316389291,0.4277012316389291
59,-0.09718902995189213,15,1236,1266,0.3566749439387324,0.1992967745577418,0.1903731329164771,0.22138217383969058,0.17053162302999725,0.21841629565608892,0.4639982140865816,0.4639982140865816,0.4639982140865816,0.4639982140865816,0.4639982140865816
60,0.03441432401859238,15,1255,1283,0.3566749439387324,0.19841512150858123,0.19039791632587838,0.2209873168941294,0.17003416884487943,0.220165476426528,0.43197797049833625,0.43197797049833625,0.43197797049833625,0.43197797049833625,0.43197797049833625
61,-0.10067953337723201,15,1273,1301,0.3566749439387324,0.19833260272574738,0.1909576226189578,0.22205930881598512,0.17032759318681212,0.21832287265249084,0.39928164668944344,0.39928164668944344,0.39928164668944344,0.39928164668944344,0.39928164668944344
62,-0.02492705802453713,16,1292,1318,0.3856624808119847,0.19715541787839347,0.19062457786085288,0.22017518088497576,0.17245114396299216,0.21959367941278685,0.4157555777329007,0.4157555777329007,0.4157555777329007,0.4157555777329007,0.4157555777329007
63,-0.13802490310939486,16,1312,1334,0.3856624808119847,0.19890756316495156,0.19123490712483096,0.2233324332548592,0.16877792223558086,0.21774717421977538,0.4145002738790863,0.4145002738790863,0.4145002738790863,0.4145002738790863,0.4145002738790863
64,0.08062656590196216,16,1329,1351,0.3856624808119847,0.19824641134287393,0.19103905745007135,0.22267062050940822,0.16953103733378402,0.21851287336386793,0.409864439184915,0.409864439184915,0.409864439184915,0.409864439184915,0.409864439184915
65,-0.12487951935064855,16,1347,1369,0.3856624808119847,0.1981507029967777,0.1910287056021898,0.22258955848722448,0.16973995709556272,0.21849107581825059,0.40826865344276764,0.40826865344276764,0.40826865344276764,0.40826865344276764,0.40826865344276764
66,-0.001355003541601596,18,1365,1384,0.44628710262841953,0.19460833595687568,0.19111417099367187,0.22091043681556927,0.17307157160481776,0.22029548462906798,0.4468274825658585,0.4468274825658585,0.4468274825658585,0.4468274825658585,0.4468274825658585
67,-0.04705829384330972,18,1383,1398,0.44628710262841953,0.19460833595687568,0.1911141709936719,0.2209104368155692,0.17307157160481781,0.2202954846290679,0.4468274825658585,0.4468274825658585,0.4468274825658585,0.4468274825658585,0.4468274825658585
68,0.04624926792751117,18,1400,1413,0.44628710262841953,0.19526981188863626,0.1909398250457096,0.2208724041070062,0.17185847319562386,0.2210594857630268,0.4773191610141425,0.4773191610141425,0.4773191610141425,0.4773191610141425,0.4773191610141425
69,-0.07842684518205685,18,1418,1429,0.44628710262841953,0.19672380677483725,0.1910070953164925,0.22176356975981337,0.17080130155580944,0.21970422659305233,0.44664147102747087,0.44664147102747087,0.44664147102747087,0.44664147102747087,0.44664147102747087
70,0.03164658009712124,18,1435,1445,0.44628710262841953,0.19677300418398738,0.19101218135837567,0.22180456062875165,0.17069754788324237,0.2197127059456481,0.4481890408402833,0.4481890408402833,0.4481890408402833,0.4481890408402833,0.4481890408402833
71,-0.025691218675774494,18,1453,1461,0.44628710262841953,0.19559466040898338,0.19119270672080507,0.22336378471589813,0.1720998264784921,0.2177490216758248,0.43590026171256935,0.43590026171256935,0.43590026171256935,0.43590026171256935,0.43590026171256935
72,0.020849657782188166,18,1469,1477,0.44628710262841953,0.19660015329881966,0.19012398314365603,0.22153754476617382,0.17345908121615955,0.21827923757519177,0.4759340963818067,0.4759340963818067,0.4759340963818067,0.4759340963818067,0.4759340963818067
73,0.02726730065578431,19,1486,1493,0.4780358009429998,0.19662840968988493,0.1901628726385048,0.22080464544181294,0.17383178602885002,0.21857228620094848,0.47774056841727874,0.47774056841727874,0.47774056841727874,0.47774056841727874,0.47774056841727874
