iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
53,0.06324182728928458,69,527,1219,1.1711829815029449,0.2512050022853323,0.24870939630645614,0.2477082497509044,0.25237735165730857,0.45040305864548136,0.45040305864548136,0.45040305864548136,0.45040305864548136
54,0.0770716162100232,70,532,1228,1.203972804325936,0.2503594573364463,0.24912878746111677,0.24863333697938386,0.25187841822305235,0.41892563635315916,0.41892563635315916,0.41892563635315916,0.41892563635315916
55,0.02928210201623098,72,537,1239,1.2729656758128873,0.2500381176617365,0.25053609431158674,0.2491558594875971,0.2502699285390804,0.41384370832636624,0.41384370832636624,0.41384370832636624,0.41384370832636624
56,0.07692676059813008,72,542,1252,1.2729656758128873,0.250300791805967,0.250308665519379,0.24937857322866966,0.2500119694459822,0.40241771615466077,0.40241771615466077,0.40241771615466077,0.40241771615466077
57,0.029666275173478595,73,545,1265,1.3093333199837622,0.25079829935359765,0.25105300554642584,0.24758120061898947,0.25056749448098764,0.4310032199980741,0.4310032199980741,0.4310032199980741,0.4310032199980741
58,0.12036812709660864,73,553,1281,1.3093333199837622,0.25086644835288013,0.2499222862690562,0.24649853995141258,0.25271272542664946,0.4605977625352299,0.4605977625352299,0.4605977625352299,0.4605977625352299
59,-0.0018296260882927308,73,560,1293,1.3093333199837622,0.2500661989624613,0.24968333711994786,0.24817523377231332,0.2520752301452771,0.4700322681085262,0.4700322681085262,0.4700322681085262,0.4700322681085262
60,0.0528506550754357,73,565,1304,1.3093333199837622,0.2515665591671336,0.25050106172878833,0.24762955656145452,0.2503028225426234,0.4293038478744497,0.4293038478744497,0.4293038478744497,0.4293038478744497
61,0.04478136544335283,73,570,1313,1.3093333199837622,0.25079066612680434,0.24987417068295528,0.24754304866228968,0.2517921145279522,0.41107182510284973,0.41107182510284973,0.41107182510284973,0.41107182510284973
62,0.07428361444592153,74,574,1326,1.3470736479666092,0.25273103329780866,0.24889208884330202,0.24719709295140696,0.2511797849074823,0.3789114099416782,0.3789114099416782,0.3789114099416782,0.3789114099416782
63,0.006906712125334532,74,581,1341,1.3470736479666092,0.2525582673727114,0.24904660114025554,0.2488441132710879,0.24955101821594286,0.3860822334547533,0.3860822334547533,0.3860822334547533,0.3860822334547533
64,0.0015050564804427963,74,587,1355,1.3470736479666092,0.2522995983475033,0.25065228806772644,0.2486547185796039,0.2483933950051643,0.389839820585114,0.389839820585114,0.389839820585114,0.389839820585114
65,0.05618279610322703,74,591,1370,1.3470736479666092,0.2529721255831897,0.2510238696164563,0.24594927106250605,0.25005473373784853,0.4135277760766039,0.4135277760766039,0.4135277760766039,0.4135277760766039
66,0.08247140551074729,74,595,1382,1.3470736479666092,0.25080644985692635,0.2505764065499514,0.2494169640257095,0.2492001795674086,0.41835804039535235,0.41835804039535235,0.41835804039535235,0.41835804039535235
67,0.059216721058405565,74,599,1389,1.3470736479666092,0.24986965159983376,0.2514585773903165,0.25035779567613115,0.2483139753337177,0.4251418261307131,0.4251418261307131,0.4251418261307131,0.4251418261307131
68,0.0506340390944994,74,603,1400,1.3470736479666092,0.25006314494201215,0.25093733305558963,0.24983520031225895,0.2491643216901375,0.39808966052565287,0.39808966052565287,0.39808966052565287,0.39808966052565287
69,0.04997470146861115,74,609,1412,1.3470736479666092,0.24989095275307338,0.24878627169465115,0.2503605436086793,0.25096223194359596,0.3895499706568994,0.3895499706568994,0.3895499706568994,0.3895499706568994
70,0.029332941560730505,74,614,1425,1.3470736479666092,0.25071202296803025,0.24823469277524096,0.2505328129009192,0.2505204713558091,0.3781850683132894,0.3781850683132894,0.3781850683132894,0.3781850683132894
71,0.08606247917241776,74,618,1438,1.3470736479666092,0.25156125211994385,0.2483726826025377,0.2509979716038857,0.24906809367362848,0.36990842898560555,0.36990842898560555,0.36990842898560555,0.36990842898560555
72,0.07053185223794424,74,624,1450,1.3470736479666092,0.25128876099654274,0.24991763709527803,0.2498685623474219,0.24892503956075449,0.38241186194260035,0.38241186194260035,0.38241186194260035,0.38241186194260035
73,0.06536646895761189,74,633,1465,1.3470736479666092,0.2546174953171348,0.24677786561569287,0.2507350147837949,0.24786962428337547,0.37536797180357473,0.37536797180357473,0.37536797180357473,0.37536797180357473
74,0.05779201580510682,74,641,1479,1.3470736479666092,0.2544434831315922,0.24846811594377627,0.2500230137575247,0.24706538716710463,0.3908214617752928,0.3908214617752928,0.3908214617752928,0.3908214617752928
75,0.07772696777669533,74,646,1488,1.3470736479666092,0.2546748614428182,0.24960510556721566,0.24921080612224858,0.24650922686771592,0.3978320214178042,0.3978320214178042,0.3978320214178042,0.3978320214178042
76,0.015659755964043315,75,652,1498,1.3862943611198906,0.25451861430593736,0.24873189336956292,0.24888722597808116,0.24786226634641575,0.386812096576196,0.386812096576196,0.386812096576196,0.386812096576196
77,0.1133269897763555,75,660,1507,1.3862943611198906,0.2531377965188028,0.24957845991214964,0.24897972765198428,0.24830401591706372,0.3811118584351941,0.3811118584351941,0.3811118584351941,0.3811118584351941
